,Q,A
0,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
1,A, Let's think step by step. 
2,There are more than 501 students in the school. ,
3,20% of them exactly took physics. ,
4,28% of them exactly took math. ,
5,We can write this as, 
6,There are more than 501 students in the school. ,
7,There are more than 100 students who took physics. ,
8,There are more than 140 students who took math. ,
9,We want to find the least possible number of students in the school. ,
10,The least possible number of students in the school is 241. ,
11,2st data,
12,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
13,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
14,We can write this out as, 
15,-50 + (-49) + ... + k = 51 ,
16,We can solve this equation for k, 
17,k = 102 ,
18,3st data,
19,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
20,A, Let's think step by step. 
21,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
22,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
23,4st data,
24,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
25,A, Let's think step by step. 
26,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
27,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
28,"Now, we need to calculate the total amount of interest that accrues over the life ",
29,5st data,
30,1_th_sampling,
31,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
32,A, Let's think step by step. 
33,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
34,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
35,There are 5 registered voters in total. ,
36,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
37,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
38,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
39,6st data,
40,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
41,A, Let's think step by step. 
42,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
43,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
44,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
45,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
46,"Therefore, the answer is 26. ",
47,7st data,
48,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
49,A, Let's think step by step. 
50,The cost of new tires is $180 per tire. ,
51,The cost of repairing the current tires is $40 per tire. ,
52,The difference in cost is $180 - $40 = $140. ,
53,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
54,$140/$40 = 3.5 ,
55,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
56,8st data,
57,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
58,A, Let's think step by step. 
59,Anna is able to buy 5 more articles for $300. ,
60,That means that the 5 articles cost $60 each. ,
61,The price of each article decreased by 15%. ,
62,That means that the original price of each article was $70. ,
63,$70 - $60 = $10 ,
64,The new selling price of each article is $10. ,
65,9st data,
66,A, Let's think step by step. 
67,The first car will travel 15 miles in 15/55 hours. ,
68,The second car will travel 15 miles in 15/52 hours. ,
69,Now we need to compare the two times. ,
70,15/55 = 0.2727272727272727 ,
71,15/52 = 0.28846153846153846 ,
72,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
73,10st data,
74,1_th_sampling,
75,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
76,A, Let's think step by step. 
77,The grocery sells a bag of ice for $1.25. ,
78,This means that the grocery buys the bag of ice for $1. ,
79,The grocery makes 20% profit. ,
80,This means that the grocery's profit is $0.20. ,
81,The grocery sells 500 bags of ice. ,
82,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
83,11st data,
84,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
85,A, Let's think step by step. 
86,The car is currently travelling at 60 km/hr. ,
87,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
88,"Therefore, the car would need to gain 300 km/hr. ",
89,12st data,
90,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
91,A, Let's think step by step. 
92,There are 10 different types of books. ,
93,That means we need at least 10 different codes. ,
94,The codes can be either a single letter or a pair of two different letters. ,
95,That means the maximum number of codes we would need is 20. ,
96,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
97,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
98,The minimum number of codes we could use is 3. ,
99,13st data,
100,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
101,A, Let's think step by step. 
102,Q is as much younger than R as he is older than T. ,
103,Q is younger than R by x years. ,
104,Q is older than T by x years. ,
105,Now we have two equations and two unknowns. We can solve for x. ,
106,R + T = 50 ,
107,R - Q = x ,
108,T - Q = x ,
109,R + T = 50 ,
110,R - T = -x ,
111,2T = 50 - x ,
112,T = 25 - (1/2)x ,
113,14st data,
114,A, Let's think step by step. 
115,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
116,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
117,2/5sp = h ,
118,"We also know that the width is 50 cm, so we can set up another equation", 
119,w = 50 ,
120,15st data,
121,1_th_sampling,
122,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
123,A, Let's think step by step. 
124,"C's share is 150,000. ",
125,"The total profit is 375,000. ",
126,"That means B's share is 375,000 - 150,000 = 225,000. ",
127,"Now we know that B's share is 60,000 more than A's share. ",
128,"That means A's share is 225,000 - 60,000 = 165,000. ",
129,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
130,That means the total profit is 165% of ,
131,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
132,16st data,
133,1_th_sampling,
134,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
135,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
136,17st data,
137,1_th_sampling,
138,A, Let's think step by step. 
139,The athlete runs M miles in 4 hours. ,
140,That's an average speed of M/4 miles per hour. ,
141,The athlete rides a bike N miles in the same number of hours. ,
142,That's an average speed of N/4 miles per hour. ,
143,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
144,(M/4) + (N/4) = (M + N)/8,
145,18st data,
146,1_th_sampling,
147,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
148,A, Let's think step by step. 
149,There are a total of 250 files. ,
150,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
151,This means that the number of files that are infected only by a worm is 125. ,
152,125 + 125 = 250 ,
