Problem,Rationale
a shopkeeper sold an article offering a discount of 5 % and earned a profit of 31.1 % . what would have been the percentage of profit earned if no discount had been offered ?,"""giving no discount to customer implies selling the product on printed price . suppose the cost price of the article is 100 . then printed price = 100 ã — ( 100 + 31.1 ) / ( 100 â ˆ ’ 5 ) = 138 hence , required % profit = 138 â € “ 100 = 38 % answer a"""
what will be the difference between simple and compound interest at 14 % per annum on a sum of rs . 1000 after 4 years ?,"""s . i . = ( 1000 * 14 * 4 ) / 100 = rs . 560 c . i . = [ 1000 * ( 1 + 14 / 100 ) 4 - 1000 ] = rs . 689 difference = ( 689 - 560 ) = rs . 129 answer : a"""
"there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?","""the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c"""
the present population of a town is 3888 . population increase rate is 20 % p . a . find the population of town before 2 years ?,"""p = 3888 r = 20 % required population of town = p / ( 1 + r / 100 ) ^ t = 3888 / ( 1 + 20 / 100 ) ^ 2 = 3888 / ( 6 / 5 ) ^ 2 = 2700 ( approximately ) answer is e"""
the triplicate ratio of 1 : 9 is ?,"""13 : 93 = 1 : 729 answer : e"""
the sum of all the integers s such that - 26 < s < 24 is,"""easy one - - 25 , - 24 , - 23 , - 22 , . . . . . . - 1,0 , 1 , 2 . . . . , 22 , 23 cancel everyhitng and we ' re left with - - 25 and - 24 s = - 49 . d is the answer ."""
"a full stationary oil tank that is a right circular cylinder has a radius of 100 feet and a height of 25 feet . oil is pumped from the stationary tank to an oil truck that has a tank that is a right circular cylinder until the truck ' s tank is completely filled . if the truck ' s tank has a radius of 6 feet and a height of 10 feet , how far ( in feet ) did the oil level drop in the stationary tank ?","""the volume of oil pumped to the tank = the volume of oil taken away from stationary cylinder . pi * 36 * 10 = pi * h * 100 * 100 ( h is distance that the oil level dropped ) h = 360 / 10,000 = 36 / 1000 = 0.036 ft the answer is a ."""
"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 35 - ounce cans or 25 - ounce cans of chili paste . if the restaurant must order 20 more of the smaller cans than the larger cans to fulfill its weekly needs , then how manysmallercans are required to fulfill its weekly needs ?","""let x be the number of 35 ounce cans . therefore ( x + 20 ) is the number of 25 ounce cans . total volume is same , therefore 35 x = 25 ( x + 20 ) 10 x = 500 x = 50 therefore , number of 15 ounce cans = 50 + 20 = 70 ans - b"""
"if n is an integer and 101 n ^ 2 is less than or equal to 10000 , what is the greatest possible value of n ?","""101 * n ^ 2 < = 10000 n ^ 2 < = 10000 / 101 which will be less than 100 since 10000 / 100 = 100 which is the square of 9 next closest value of n where n ^ 2 < = 100 is 9 ans c"""
"a constructor estimates that 10 people can paint mr khans house in 4 days . if he uses 5 people instead of 10 , how long will they take to complete the job ?","""explanation : use formula for a work members ã — days = constant 10 ã — 4 = 5 ã — a a = 8 so answer is 8 days answer : d"""
the population of a town is 8000 . it decreases annually at the rate of 20 % p . a . what will be its population after 3 years ?,"""formula : ( after = 100 denominator ago = 100 numerator ) 8000 ã — 80 / 100 ã — 80 / 100 x 80 / 100 = 4096 answer : b"""
the percentage profit earned by selling an article for rs . 1920 is equal to the percentage loss incurred by selling the same article for rs . 1280 . at what price should the article be sold to make 40 % profit ?,"""let c . p . be rs . x . then , ( 1920 - x ) / x * 100 = ( x - 1280 ) / x * 100 1920 - x = x - 1280 2 x = 3200 = > x = 1600 required s . p . = 140 % of rs . 1600 = 140 / 100 * 1600 = rs . 2240 . answer : e"""
"running at the same constant rate , 6 identical machines can produce a total of 360 bottles per minute . at this rate , how many bottles could 10 such machines produce in 4 minutes ?","""let the required number of bottles be x . more machines , more bottles ( direct proportion ) more minutes , more bottles ( direct proportion ) machines 6 : 10 : : 360 : x time ( in minutes ) 1 : 4 6 x 1 x x = 10 x 4 x 360 x = ( 10 x 4 x 360 ) / ( 6 ) x = 2400 . answer : c"""
there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ?,divide as ( 1 - 100 ) ( 100 - 200 ) . . . . ( 900 - 1000 ) total 192 answer : c
"a man bought 20 shares of rs . 50 at 5 discount , the rate of dividend being 13 . the rate of interest obtained is :","""investment = rs . [ 20 x ( 50 - 5 ) ] = rs . 900 . face value = rs . ( 50 x 20 ) = rs . 1000 . dividend = rs . 27 x 1000 = rs . 135 . 2 100 interest obtained = 135 x 100 % = 15 % 900 view answer discuss in forum answer : c"""
? % of 360 = 108,"""? % of 360 = 108 or , ? = 108 × 100 / 360 = 30 answer a"""
a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,"""speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b"""
what is the sum of all digits for the number 10 ^ 29 - 41 ?,"""10 ^ 29 is a 30 - digit number : 1 followed by 29 zeros . 10 ^ 29 - 41 is a 29 - digit number : 27 9 ' s and 59 at the end . the sum of the digits is 27 * 9 + 5 + 9 = 257 . the answer is a ."""
a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,"""speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e"""
a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,"""s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a"""
"each month a retailer sells 100 identical items . on each item he makes a profit of $ 40 that constitutes 10 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?","""for this question , we ' ll need the following formula : sell price = cost + profit we ' re told that the profit on 1 item is $ 20 and that this represents 10 % of the cost : sell price = cost + $ 40 sell price = $ 400 + $ 40 thus , the sell price is $ 440 for each item . selling all 100 items gives the retailer . . . 100 ( $ 40 ) = $ 2,000 of profit if the retailer offers a 5 % discount on the sell price , then the equation changes . . . 5 % ( 440 ) = $ 22 discount $ 418 = $ 400 + $ 18 now , the retailer makes a profit of just $ 18 per item sold . to earn $ 2,000 in profit , the retailer must sell . . . . $ 18 ( x ) = $ 2,000 x = 2,000 / 18 x = 222.222222 items you ' ll notice that this is not among the answer choices . . . . 221 and 223 are . selling 221 items would get us 9 ( 221 ) = $ 1989 which is not enough money . to get back to at least $ 2,000 , we need to sell 223 items . final answer : d"""
"the average age of 15 students of a class is 14 years . out of these , the average age of 5 students is 14 years and that of the other 9 students is 16 years . tee age of the 15 th student is ?","""age of the 15 th student = [ 15 * 14 - ( 14 * 5 + 16 * 9 ) ] = ( 210 - 214 ) = 4 years . answer : b"""
"bookman purchased 55 copies of a new book released recently , 10 of which are hardback and sold for $ 20 each , and rest are paperback and sold for $ 10 each . if 14 copies were sold and the total value of the remaining books was 460 , how many paperback copies were sold ?","""the bookman had 10 hardback ad 55 - 10 = 45 paperback copies ; 14 copies were sold , hence 55 - 14 = 41 copies were left . let # of paperback copies left be p then 10 p + 20 ( 41 - p ) = 460 - - > 10 p = 360 - - > p = 36 # of paperback copies sold is 45 - 36 = 9 answer : e"""
diana is painting statues . she has 1 / 2 of a gallon of paint remaining . each statue requires 1 / 16 gallon of paint . how many statues can she paint ?,"""number of statues = all the paint ÷ amount used per statue = 1 / 2 ÷ 1 / 16 = 8 / 16 * 16 / 1 = 8 / 1 = 8 answer is a ."""
